C0BQGBA20A008001 - BARRA CHATA ACO CARBONO 1020 5/16 IN X 1IN ESPECIFICACAO MMP-GBA20A
C0BQGBA20A010001 - BARRA CHATA ACO CARBONO 1020 3/8 IN X 1 IN ESPECIFICACAO MMP-GBA20A QMP 0
C0BQGBA20A013001 - BARRA CHATA ACO CARBONO 1020 1/2 IN X 3 IN
C0BQGBA20A013002 - BARRA CHATA ACO CARBONO 1020 1/2 IN X 2 IN
C0BQGBA20A020001 - BARRA CHATA AÇO CARBONO 1020 3/4 IN X 4 IN
C0BQGBA20A020002 - BARRA CHATA AÇO CARBONO 1020 3/4 IN X 1 IN
C0BQKDG00A005001 - BARRA CHATA AÇO CARBONO A36 3/16 IN X 5/8 IN
C0BQKDG00A013001 - BARRA CHATA ACO CARBONO A36 1/2 IN X 3 IN
C0BQKDG00A020001 - BARRA CHATA AÇO CARBONO A36 3/4 IN X 4 IN
C0BRAKG35A008001 - BARRA REDONDA ALUMINIO 5/16 IN ESPECIFICACAO MMP-AKG35A QMP 0
C0BRAKG35A010001 - BARRA REDONDA ALUMINIO 6351 - T6 DN 3/8 IN ESPECIFICACAO MMP-AKG35A QMP-0 (A)
C0BRAKG35A010002 - BARRA REDONDA ALUMINIO 6351 - T6 DN 3/8 IN ESPECIFICACAO MMP-AKG35A QMP-0 (B)
C0BRCCD00B070001 - BARRA REDONDA BRONZE TM-23 DN 2.3/4 IN ESPECIFICACAO MMP-CCD00B
C0BRCCD00B083001 - BARRA REDONDA BRONZE TM-23 DN 3.1/4 IN ESPECIFICACAO MMP-CCD00B QMP-0
C0BRCCD00B089001 - BARRA REDONDA BRONZE TM-23 DN 3.1/2 IN ESPECIFICACAO MMP-CCD00B
C0BRCDG00A012001 - BARRA REDONDA LATAO CLA 360 DN 7/16 IN ESPECIFICACAO MMP-CDG00A QMP 0
C0BRGBA20A010001 - BARRA REDONDA ACO CARBONO 1020 LAMINADO DN 3/8 IN QMP 0
C0BRGBA20A013001 - BARRA REDONDA ACO CARBONO 1020 LAMINADO DN 1/2 IN QMP 0
C0BRGBA20A015001 - BARRA REDONDA ACO CARBONO 1020 LAMINADO DN 9/16 IN ESPECIFICACAO MMP-GBA20A QMP-0
C0BRGBA20A016001 - BARRA REDONDA ACO CARBONO 1020 LAMINADO DN 5/8 IN ESPECIFICACAO MMP-GBA20A QMP-0
C0BRGBA20A026001 - BARRA REDONDA ACO CARBONO 1020 LAMINADO DN 1 IN ESPECIFICACAO MMP-GBA20A QMP 0
C0BRGBA20A074001 - BARRA REDONDA ACO CARBONO 1020 LAMINADO DN 2.7/8 IN ESPECIFICACAO MMP-GBA20A QMP-0
C0BRGBA20A140001 - BARRA REDONDA ACO CARBONO 1020 LAMINADO 5.1/2 IN ESPECIFICACAO MMP-GBA20A QMP 0
C0BRGBA45A013001 - BARRA REDONDA ACO CARBONO 1045 CONFORMADO 1/2 IN ESPECIFICACAO MMP-GBA45A QMP 0
C0BRGBA45A026001 - BARRA REDONDA ACO CARBONO 1045 CONFORMADO 1 IN ESPECIFICACAO MMP-GBA45A QMP 0
C0BRGBA45A064001 - BARRA REDONDA ACO CARBONO 1045 CONFORMADO 2.1/2 IN ESPECIFICACAO MMP-GBA45A QMP 0
C0BRGEB40B115001 - BARRA REDONDA ACO LIGADO 4140 RECOZIDO DN 4.1/2 IN ESPECIFICACAO MMP-GEB40B QMP 0
C0BRGEB40B331001 - BARRA REDONDA ACO LIGADO 4140 RECOZIDO DN 13 IN ESPECIFICACAO MMP-GEB40B QMP 0
C0BRGEB40B356001 - BARRA REDONDA ACO LIGADO 4140 RECOZIDO DN 14 IN ESPECIFICACAO MMP-GEB40B QMP 0
